configuration,recall@1,recall@3,recall@5,mrr,ndcg@5,answer_accuracy,citation_validity,coverage,median_latency_ms
bm25,0.37916666666666665,0.5326388888888889,0.6229166666666667,0.6052777777777777,0.5914879922919117,,,,9.044146165251732
dense,0.4506944444444444,0.6444444444444444,0.7319444444444445,0.7133333333333334,0.7549547050823081,,,,32.24456217139959
hybrid,0.4854166666666666,0.6368055555555555,0.7284722222222222,0.74625,0.7423605154800136,,,,49.47516694664955
hybrid_rerank,0.3548611111111111,0.5625,0.6756944444444445,0.6206944444444444,0.6345472853948321,,,,73.76379147171974
full_workflow,0.3548611111111111,0.5625,0.6756944444444445,0.6206944444444444,0.6345472853948321,0.025,1.0,0.9333333333333333,74.05335456132889
